starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:50:45 2015	1430491845	17	24	41	24
Fri May 01 15:50:34 2015	1430491834	17	24	41	24
Fri May 01 15:50:24 2015	1430491824	16	25	41	24
Fri May 01 15:50:32 2015	1430491832	23	18	41	17
Fri May 01 15:50:38 2015	1430491838	20	20	41	20
Fri May 01 15:50:34 2015	1430491834	20	21	41	21
Fri May 01 15:50:34 2015	1430491834	17	24	41	24
Fri May 01 15:50:24 2015	1430491824	16	25	41	25
Fri May 01 15:50:26 2015	1430491826	15	26	41	26
Fri May 01 15:50:07 2015	1430491807	18	22	41	22
Fri May 01 15:50:29 2015	1430491829	22	19	41	19
Fri May 01 15:50:19 2015	1430491819	23	17	41	17
Fri May 01 15:50:44 2015	1430491844	16	24	41	24
Fri May 01 15:50:33 2015	1430491833	22	19	41	19
Fri May 01 15:50:19 2015	1430491819	20	21	41	21
Fri May 01 15:50:11 2015	1430491811	24	16	41	16
Fri May 01 15:50:37 2015	1430491837	18	23	41	23
Fri May 01 15:50:49 2015	1430491849	25	16	41	16
Fri May 01 15:50:49 2015	1430491849	17	23	41	23
Fri May 01 15:50:23 2015	1430491823	17	24	41	24
Fri May 01 15:50:34 2015	1430491834	20	21	41	21
Fri May 01 15:50:15 2015	1430491815	19	22	41	22
Fri May 01 15:50:44 2015	1430491844	18	22	41	22
Fri May 01 15:50:18 2015	1430491818	19	22	41	21
Fri May 01 15:50:23 2015	1430491823	21	19	41	19
Fri May 01 15:50:34 2015	1430491834	22	19	41	19
Fri May 01 15:50:25 2015	1430491825	22	19	41	18
Fri May 01 15:50:35 2015	1430491835	18	23	41	23
Fri May 01 15:50:30 2015	1430491830	19	22	41	22
Fri May 01 15:50:45 2015	1430491845	20	20	41	20
Fri May 01 15:50:13 2015	1430491813	24	16	41	16
Fri May 01 15:50:08 2015	1430491808	19	22	41	22
Fri May 01 15:50:46 2015	1430491846	22	18	41	18
Fri May 01 15:50:25 2015	1430491825	22	18	41	18
Fri May 01 15:50:39 2015	1430491839	15	25	41	25
Fri May 01 15:50:42 2015	1430491842	18	23	41	23
Fri May 01 15:50:49 2015	1430491849	16	24	41	24
Fri May 01 15:50:14 2015	1430491814	18	23	41	23
Fri May 01 15:50:08 2015	1430491808	15	26	41	26
Fri May 01 15:50:38 2015	1430491838	18	23	41	23
Fri May 01 15:50:33 2015	1430491833	15	26	41	26
Fri May 01 15:50:12 2015	1430491812	19	22	41	22
Fri May 01 15:50:22 2015	1430491822	17	24	41	24
Fri May 01 15:50:35 2015	1430491835	21	20	41	20
Fri May 01 15:50:26 2015	1430491826	17	24	41	24
Fri May 01 15:50:35 2015	1430491835	18	22	41	22
Fri May 01 15:50:38 2015	1430491838	19	21	41	21
Fri May 01 15:50:10 2015	1430491810	21	20	41	20
Fri May 01 15:50:47 2015	1430491847	16	25	41	25
Fri May 01 15:50:05 2015	1430491805	16	24	41	24
Fri May 01 15:50:48 2015	1430491848	15	26	41	26
Fri May 01 15:50:23 2015	1430491823	17	24	41	23
Fri May 01 15:50:32 2015	1430491832	18	23	41	23
Fri May 01 15:50:44 2015	1430491844	18	23	41	23
Fri May 01 15:50:25 2015	1430491825	25	16	41	16
